date,series,value,label
2019-10-01T00:00:00,N. Ireland,0.0,
2020-01-01T00:00:00,N. Ireland,-0.02695636845043961,
2020-04-01T00:00:00,N. Ireland,-0.16818182478649793,
2020-07-01T00:00:00,N. Ireland,-0.014641948813444848,
2020-10-01T00:00:00,N. Ireland,0.035925707004041095,
2021-01-01T00:00:00,N. Ireland,0.02966896224479546,
2021-04-01T00:00:00,N. Ireland,0.03921662807677759,
2021-07-01T00:00:00,N. Ireland,0.055267499329514774,
2021-10-01T00:00:00,N. Ireland,0.062220042465335065,
2022-01-01T00:00:00,N. Ireland,0.0431440382640214,
2022-04-01T00:00:00,N. Ireland,0.053884539068046085,
2022-07-01T00:00:00,N. Ireland,0.07289673356787868,
2022-10-01T00:00:00,N. Ireland,0.06312527760943815,
2023-01-01T00:00:00,N. Ireland,0.05946826687225019,
2023-04-01T00:00:00,N. Ireland,0.05346155987692178,
2023-07-01T00:00:00,N. Ireland,0.04517006710345446,
2023-10-01T00:00:00,N. Ireland,0.042015533531011465,
2024-01-01T00:00:00,N. Ireland,0.03873237053844863,
2024-04-01T00:00:00,N. Ireland,0.03788033838300253,
2024-07-01T00:00:00,N. Ireland,0.03916900200174057,
2024-10-01T00:00:00,N. Ireland,0.04045994834338195,
2025-01-01T00:00:00,N. Ireland,0.06479247124142992,
2025-04-01T00:00:00,N. Ireland,0.0653251297478044,
2025-07-01T00:00:00,N. Ireland,0.06663862277989,
2025-10-01T00:00:00,N. Ireland,0.07118021818566748,N. Ireland
2019-10-01T00:00:00,UK,0.0,
2020-01-01T00:00:00,UK,-0.0410835203857855,
2020-04-01T00:00:00,UK,-0.0350579686690075,
2020-07-01T00:00:00,UK,-0.01699773191572199,
2020-10-01T00:00:00,UK,-0.02558220808676415,
2021-01-01T00:00:00,UK,-0.011152782566477006,
2021-04-01T00:00:00,UK,-0.01896793956153502,
2021-07-01T00:00:00,UK,-0.017738905268194587,
2021-10-01T00:00:00,UK,-0.014159694711634389,
2022-01-01T00:00:00,UK,-0.010371735964029632,
2022-04-01T00:00:00,UK,-0.0233352331764204,
2022-07-01T00:00:00,UK,-0.017736559782901874,
2022-10-01T00:00:00,UK,-0.018648953561736643,
2023-01-01T00:00:00,UK,-0.018888193061585467,
2023-04-01T00:00:00,UK,-0.015114307225736647,
2023-07-01T00:00:00,UK,-0.010367044993444373,
2023-10-01T00:00:00,UK,-0.005941114246243187,
2024-01-01T00:00:00,UK,-0.004845772614582859,
2024-04-01T00:00:00,UK,-0.0014823467049450317,
2024-07-01T00:00:00,UK,-0.0006356265143040439,
2024-10-01T00:00:00,UK,0.003942760776918442,
2025-01-01T00:00:00,UK,0.006220226996066624,
2025-04-01T00:00:00,UK,0.009250593994150298,
2025-07-01T00:00:00,UK,0.01087601530194595,
2025-10-01T00:00:00,UK,0.013894654873566564,UK
